Index,Name,Length,NumLanes,IsConnector,FromLink,FromPos,ToLink,ToPos
1,Hickory Valley Rd.,1290.4708486555394,1,0,,,,
2,Hickory Valley,936.1197304821403,1,0,,,,
3,Hickory Valley,115.00113390143174,2,0,,,,
4,Hickory Valley Rd.,1195.341503572941,1,0,,,,
5,Hickory Valley Rd.,74.99802436874603,2,0,,,,
6,Shallowford Rd.,2411.206612939615,2,0,,,,
7,Shallowford Rd.,150.00269084675193,3,0,,,,
8,Shallowford Rd.,1001.6697165978986,2,0,,,,
9,Shallowford Rd.,186.75372074680166,3,0,,,,
10,Shallowford Rd.,2577.952261439267,2,0,,,,
11,Amin Dr.,49.108320068923966,1,0,,,,
12,Amin Dr.,116.33434158001047,2,0,,,,
13,Shallowford Village Dr.,371.28630307148296,2,0,,,,
14,Shallowford Rd.,1170.132043695164,2,0,,,,
15,Shallowford Rd.,100.00118596439532,3,0,,,,
16,Shallowford Rd.,217.7303985660754,2,0,,,,
17,Shallowford Rd.,99.99867871923989,3,0,,,,
18,Shallowford Village Dr.,370.2111495846159,1,0,,,,
19,Amin Dr.,238.95687623733434,1,0,,,,
20,I-75 SB Off Ramp,330.5025256874324,2,0,,,,
21,I-75 SB Off Ramp,419.30651171770575,3,0,,,,
22,Shallowford Rd.,311.5536357625261,2,0,,,,
23,Shallowford Rd.,394.974273198345,3,0,,,,
24,Shallowford Rd.,230.0005594641937,4,0,,,,
25,,394.19359318545196,2,0,,,,
26,Shallowford Rd.,407.4024015570331,2,0,,,,
27,Shallowford Rd.,220.00026895188543,3,0,,,,
28,Shallowford Rd.,195.8986628985051,4,0,,,,
29,I-75 NB Off Ramp,214.77270969986674,2,0,,,,
30,I-75 NB Off Ramp,251.53387399938168,4,0,,,,
31,,405.8452859070169,2,0,,,,
32,Hickory Valley,1072.393168344644,1,0,,,,
33,Shallowford Rd.,1265.1043356784983,2,0,,,,
34,Gunbarrel Road,108.14063880928184,2,0,,,,
35,Gunbarrel Road,302.28581218270466,3,0,,,,
36,Gunbarrel Road,370.8501448172034,2,0,,,,
37,Gunbarrel Road,266.4371404280259,4,0,,,,
38,Shallowford Rd.,79.72078188963388,2,0,,,,
39,Shallowford Rd.,183.83342025673502,3,0,,,,
40,Shallowford Rd.,152.09715676925765,4,0,,,,
41,Shallowford Rd.,886.1886854065207,2,0,,,,
42,Shallowford Rd.,358.0104258453931,3,0,,,,
43,Gunbarrel Road,770.0415133665796,1,0,,,,
44,Gunbarrel Road,443.689959692568,2,0,,,,
45,Lifestyle Way,225.83735783949064,1,0,,,,
46,Lifestyle Way,70.00105208450175,2,0,,,,
47,Lifestyle Way,182.68104902322267,1,0,,,,
48,Lifestyle Way,150.00001162487237,2,0,,,,
49,Shallowford Rd.,504.9259820514303,2,0,,,,
50,Shallowford Rd.,219.73476156138813,3,0,,,,
51,Shallowford Rd.,253.599252085626,2,0,,,,
52,Shallowford Rd.,149.60648279930024,3,0,,,,
53,Lifestyle Way,352.82511003090445,1,0,,,,
54,Lifestyle Way,313.92810334947126,1,0,,,,
