timestep_time,edge_id,lane_id,vehicle_id,vehicle_pos,vehicle_speed
91.50,5,5_0,flow_0.3,49.74,13.89
91.50,5,5_0,flow_0.2,80.30,13.89
91.50,5,5_0,flow_1.1,107.47,13.89
91.50,5,5_0,flow_0.1,141.42,13.89
91.50,5,5_0,flow_1.0,168.57,13.89
91.50,5,5_0,flow_0.0,223.21,13.89
91.60,1,1_0,flow_0.25,29.19,15.11
91.60,1,1_0,flow_0.24,80.15,14.37
91.60,1,1_0,flow_0.23,138.01,15.10
91.60,1,1_0,flow_0.22,181.73,14.18
91.60,1,1_0,flow_0.21,245.40,13.95
91.60,1,1_0,flow_0.20,268.81,13.49
91.60,1,1_0,flow_0.19,332.19,14.14
91.60,1,1_0,flow_0.18,399.83,12.20
91.60,1,1_0,flow_0.17,420.29,11.88
91.60,1,1_0,flow_0.16,440.49,11.72
91.60,1,1_0,flow_0.15,475.47,10.61
91.60,1,1_0,flow_0.14,497.97,11.48
91.60,1,1_0,flow_0.13,522.93,12.64
91.60,1,1_0,flow_0.12,614.27,10.28
91.60,1,1_0,flow_0.11,658.16,10.98
91.60,1,1_0,flow_0.10,682.28,11.43
91.60,1,1_0,flow_0.9,761.73,13.25
91.60,1,1_0,flow_0.8,791.38,13.65
91.60,2,2_0,flow_1.20,27.15,13.82
91.60,2,2_0,flow_1.19,92.62,14.34
91.60,2,2_0,flow_1.18,145.34,13.24
91.60,2,2_0,flow_1.17,193.02,12.42
91.60,2,2_0,flow_1.16,313.59,14.15
91.60,2,2_0,flow_1.15,336.61,13.80
91.60,2,2_0,flow_1.14,402.58,13.89
91.60,2,2_0,flow_1.13,467.28,10.52
91.60,2,2_0,flow_1.12,488.26,11.03
91.60,2,2_0,flow_1.11,512.30,12.03
91.60,2,2_0,flow_1.10,572.26,11.78
91.60,2,2_0,flow_1.9,643.49,9.67
91.60,2,2_0,flow_1.8,705.64,12.49
91.60,2,2_0,flow_1.7,733.16,12.88
91.60,3,3_0,,,
91.60,3,3_1,flow_1.6,15.08,13.89
91.60,3,3_1,flow_0.7,49.03,13.89
91.60,3,3_1,flow_0.6,79.58,13.89
91.60,3,3_1,flow_0.5,110.14,13.89
91.60,3,3_1,flow_1.5,137.31,13.89
91.60,4,4_0,flow_1.4,10.84,13.89
91.60,4,4_0,flow_1.3,41.40,13.89
91.60,4,4_0,flow_0.4,75.35,13.89
91.60,4,4_0,flow_1.2,102.50,13.89
91.60,5,5_0,flow_0.3,51.13,13.89
91.60,5,5_0,flow_0.2,81.69,13.89
91.60,5,5_0,flow_1.1,108.86,13.89
91.60,5,5_0,flow_0.1,142.81,13.89
91.60,5,5_0,flow_1.0,169.96,13.89
91.60,5,5_0,flow_0.0,224.60,13.89
91.70,1,1_0,flow_0.25,30.70,15.01
91.70,1,1_0,flow_0.24,81.59,14.39
91.70,1,1_0,flow_0.23,139.51,15.04
91.70,1,1_0,flow_0.22,183.16,14.24
91.70,1,1_0,flow_0.21,246.80,14.03
91.70,1,1_0,flow_0.20,270.15,13.41
91.70,1,1_0,flow_0.19,333.60,14.12
91.70,1,1_0,flow_0.18,401.03,12.07
91.70,1,1_0,flow_0.17,421.48,11.85
91.70,1,1_0,flow_0.16,441.65,11.69
91.70,1,1_0,flow_0.15,476.53,10.60
91.70,1,1_0,flow_0.14,499.12,11.48
91.70,1,1_0,flow_0.13,524.20,12.65
91.70,1,1_0,flow_0.12,615.30,10.28
91.70,1,1_0,flow_0.11,659.26,10.99
91.70,1,1_0,flow_0.10,683.43,11.45
91.70,1,1_0,flow_0.9,763.06,13.27
91.70,1,1_0,flow_0.8,792.74,13.68
91.70,2,2_0,flow_1.20,28.54,13.84
91.70,2,2_0,flow_1.19,94.05,14.32
91.70,2,2_0,flow_1.18,146.67,13.26
91.70,2,2_0,flow_1.17,194.26,12.39
91.70,2,2_0,flow_1.16,315.01,14.18
91.70,2,2_0,flow_1.15,337.98,13.79
91.70,2,2_0,flow_1.14,403.96,13.83
91.70,2,2_0,flow_1.13,468.33,10.50
91.70,2,2_0,flow_1.12,489.36,11.02
91.70,2,2_0,flow_1.11,513.50,12.03
91.70,2,2_0,flow_1.10,573.44,11.78
91.70,2,2_0,flow_1.9,644.46,9.68
91.70,2,2_0,flow_1.8,706.89,12.50
91.70,2,2_0,flow_1.7,734.45,12.89
91.70,3,3_0,,,
91.70,3,3_1,flow_1.6,16.47,13.89
91.70,3,3_1,flow_0.7,50.41,13.89
91.70,3,3_1,flow_0.6,80.97,13.89
91.70,3,3_1,flow_0.5,111.53,13.89
91.70,3,3_1,flow_1.5,138.70,13.89
91.70,4,4_0,flow_1.4,12.23,13.89
91.70,4,4_0,flow_1.3,42.79,13.89
91.70,4,4_0,flow_0.4,76.74,13.89
91.70,4,4_0,flow_1.2,103.89,13.89
91.70,5,5_0,flow_0.3,52.52,13.89
91.70,5,5_0,flow_0.2,83.08,13.89
91.70,5,5_0,flow_1.1,110.25,13.89
91.70,5,5_0,flow_0.1,144.20,13.89
91.70,5,5_0,flow_1.0,171.35,13.89
91.70,5,5_0,flow_0.0,225.99,13.89
91.80,1,1_0,flow_0.25,32.20,15.00
91.80,1,1_0,flow_0.24,83.02,14.38
91.80,1,1_0,flow_0.23,141.03,15.14
91.80,1,1_0,flow_0.22,184.58,14.22
91.80,1,1_0,flow_0.21,248.20,13.99
91.80,1,1_0,flow_0.20,271.49,13.46
91.80,1,1_0,flow_0.19,335.02,14.14
91.80,1,1_0,flow_0.18,402.24,12.05
91.80,1,1_0,flow_0.17,422.66,11.82
91.80,1,1_0,flow_0.16,442.82,11.66
91.80,1,1_0,flow_0.15,477.59,10.59
91.80,1,1_0,flow_0.14,500.26,11.48
91.80,1,1_0,flow_0.13,525.46,12.66
91.80,1,1_0,flow_0.12,616.33,10.28
91.80,1,1_0,flow_0.11,660.36,11.00
91.80,1,1_0,flow_0.10,684.57,11.47
91.80,1,1_0,flow_0.9,764.39,13.29
91.80,1,1_0,flow_0.8,794.12,13.71
91.80,2,2_0,flow_1.20,29.92,13.84
91.80,2,2_0,flow_1.19,95.48,14.32
91.80,2,2_0,flow_1.18,147.98,13.18
91.80,2,2_0,flow_1.17,195.49,12.38
91.80,2,2_0,flow_1.16,316.43,14.13
91.80,2,2_0,flow_1.15,339.36,13.76
