timestep_time,edge_id,lane_id,vehicle_id,vehicle_pos,vehicle_speed
36.20,834845345#7,834845345#7_0,0_2,63.9353590886,17.8434613461
36.20,834845345#7,834845345#7_1,,,
36.20,8867312#6.18,8867312#6.18_0,0_4,62.0549054703,13.0515314328
36.20,8868160#0.7,8868160#0.7_0,0_21,63.8786856714,29.0423228459
36.20,8868160#0.7,8868160#0.7_1,,,
36.20,gneE22,gneE22_0,0_18,5.9143529704,24.8634248087
36.20,gneE22,gneE22_1,,,
36.20,gneE23,gneE23_0,0_11,12.0662491986,16.2387946704
36.20,gneE23,gneE23_1,,,
36.30,:6018664060_0,:6018664060_0_0,,,
36.30,:6018664060_0,:6018664060_0_1,0_19,15.4143814616,15.2032564227
36.30,:6018664060_0,:6018664060_0_2,,,
36.30,:6018699306_1,:6018699306_1_0,0_10,19.4464424611,17.7794249974
36.30,:6018699306_1,:6018699306_1_1,,,
36.30,:64208332_1,:64208332_1_0,,,
36.30,:64208332_1,:64208332_1_1,0_6,14.1517889759,22.5156580793
36.30,-638636924#1.9,-638636924#1.9_0,0_13,54.5484561222,0.0000000000
36.30,-638636924#1.9,-638636924#1.9_1,,,
36.30,115872656#11.5,115872656#11.5_0,0_14,33.2496316566,12.2782479945
36.30,115872656#11.5,115872656#11.5_1,0_0,131.0824807740,22.4438699915
36.30,834845345#1,834845345#1_0,0_22,14.1406892430,20.1998699137
36.30,834845345#1,834845345#1_0,0_20,99.4138130813,25.1079352741
36.30,834845345#1,834845345#1_0,0_17,189.7518058912,21.2858453853
36.30,834845345#1,834845345#1_0,0_16,253.8760498720,23.8520524874
36.30,834845345#1,834845345#1_0,0_15,298.6443789846,24.8393346988
36.30,834845345#1,834845345#1_1,,,
36.30,834845345#3.0,834845345#3.0_0,0_12,6.9582257997,23.9113029071
36.30,834845345#3.0,834845345#3.0_1,,,
36.30,834845345#4,834845345#4_0,0_7,10.8548919869,24.5465912127
36.30,834845345#4,834845345#4_1,,,
36.30,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_0,,,
36.30,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_1,,,
36.30,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_2,0_9,53.2178624135,16.3282412235
36.30,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_2,0_8,83.6059757397,15.5923019022
36.30,834845345#7,834845345#7_0,0_2,65.7217216830,17.8837905421
36.30,834845345#7,834845345#7_1,,,
36.30,8867312#6.18,8867312#6.18_0,0_4,63.3608258352,13.0668758649
36.30,8868160#0.7,8868160#0.7_0,0_21,66.7829887330,29.0437383857
36.30,8868160#0.7,8868160#0.7_1,,,
36.30,gneE22,gneE22_0,0_18,8.3977736628,24.8049890385
36.30,gneE22,gneE22_1,,,
36.30,gneE23,gneE23_0,0_11,13.6903044360,16.2423100780
36.30,gneE23,gneE23_1,,,
36.40,:6018664060_0,:6018664060_0_0,,,
36.40,:6018664060_0,:6018664060_0_1,0_19,16.9347144933,15.2034042124
36.40,:6018664060_0,:6018664060_0_2,,,
36.40,:6018699306_1,:6018699306_1_0,0_10,21.2243849608,17.7794249974
36.40,:6018699306_1,:6018699306_1_1,,,
36.40,:64208332_1,:64208332_1_0,,,
36.40,:64208332_1,:64208332_1_1,0_6,16.4045654928,22.5398722592
36.40,-638636924#1.9,-638636924#1.9_0,0_13,54.5484561222,0.0000000000
36.40,-638636924#1.9,-638636924#1.9_1,,,
36.40,115872656#11.5,115872656#11.5_0,0_14,34.4847664888,12.4244486479
36.40,115872656#11.5,115872656#11.5_1,0_0,133.3268677731,22.4438699915
36.40,834845345#1,834845345#1_0,0_22,16.1606614423,20.1995740733
36.40,834845345#1,834845345#1_0,0_20,101.9237006763,25.0898166260
